Ad;Ad2;ToplamSandik;ToplamSecmen;AcilanSandikSecmenSayisi;AcilanSandik;KullanilanOy;GecerliOy;Adi5;Oy
Adana;SEYHAN;1627;542125;542125;1627;434157;416917;Saadet Partisi;6300
Adana;SEYHAN;1627;542125;542125;1627;434157;416917;BTP;556
Adana;SEYHAN;1627;542125;542125;1627;434157;416917;TKP;980
Adana;SEYHAN;1627;542125;542125;1627;434157;416917;Vatan Partisi;698
Adana;SEYHAN;1627;542125;542125;1627;434157;416917;BBP;3398
Adana;SEYHAN;1627;542125;542125;1627;434157;416917;CHP;205184
Adana;SEYHAN;1627;542125;542125;1627;434157;416917;AK Parti;156687
Adana;SEYHAN;1627;542125;542125;1627;434157;416917;DP;1698
Adana;SEYHAN;1627;542125;542125;1627;434157;416917;HDP;37737
Adana;SEYHAN;1627;542125;542125;1627;434157;416917;DSP;2937
Adana;SEYHAN;1627;542125;542125;1627;434157;416917;CAN KAYA;742
Adana;CEYHAN;386;111614;111614;386;96501;92595;Saadet Partisi;1481
Adana;CEYHAN;386;111614;111614;386;96501;92595;BTP;138
Adana;CEYHAN;386;111614;111614;386;96501;92595;TKP;120
Adana;CEYHAN;386;111614;111614;386;96501;92595;Vatan Partisi;180
Adana;CEYHAN;386;111614;111614;386;96501;92595;BBP;564
Adana;CEYHAN;386;111614;111614;386;96501;92595;CHP;45908
Adana;CEYHAN;386;111614;111614;386;96501;92595;AK Parti;42936
Adana;CEYHAN;386;111614;111614;386;96501;92595;HDP;1011
Adana;CEYHAN;386;111614;111614;386;96501;92595;DSP;257
Adana;FEKE;65;13927;13927;65;12903;11752;Saadet Partisi;254
Adana;FEKE;65;13927;13927;65;12903;11752;BTP;132
Adana;FEKE;65;13927;13927;65;12903;11752;TKP;70
Adana;FEKE;65;13927;13927;65;12903;11752;Vatan Partisi;104
Adana;FEKE;65;13927;13927;65;12903;11752;BBP;2166
Adana;FEKE;65;13927;13927;65;12903;11752;MHP;7789
Adana;FEKE;65;13927;13927;65;12903;11752;İyi Parti;1237
Adana;KARAİSALI;83;16709;16709;83;15716;14903;Saadet Partisi;237
Adana;KARAİSALI;83;16709;16709;83;15716;14903;BTP;19
Adana;KARAİSALI;83;16709;16709;83;15716;14903;TKP;21
Adana;KARAİSALI;83;16709;16709;83;15716;14903;Vatan Partisi;28
Adana;KARAİSALI;83;16709;16709;83;15716;14903;BBP;196
Adana;KARAİSALI;83;16709;16709;83;15716;14903;MHP;10590
Adana;KARAİSALI;83;16709;16709;83;15716;14903;İyi Parti;3798
Adana;KARAİSALI;83;16709;16709;83;15716;14903;HDP;14
Adana;KARATAŞ;73;17546;17546;73;15918;15279;Saadet Partisi;225
Adana;KARATAŞ;73;17546;17546;73;15918;15279;BTP;16
Adana;KARATAŞ;73;17546;17546;73;15918;15279;TKP;17
Adana;KARATAŞ;73;17546;17546;73;15918;15279;Vatan Partisi;14
Adana;KARATAŞ;73;17546;17546;73;15918;15279;BBP;57
Adana;KARATAŞ;73;17546;17546;73;15918;15279;CHP;7136
Adana;KARATAŞ;73;17546;17546;73;15918;15279;DP;366
Adana;KARATAŞ;73;17546;17546;73;15918;15279;MHP;7448
Adana;KOZAN;323;93515;93515;323;82769;77749;Saadet Partisi;16920
Adana;KOZAN;323;93515;93515;323;82769;77749;BTP;368
Adana;KOZAN;323;93515;93515;323;82769;77749;TKP;128
Adana;KOZAN;323;93515;93515;323;82769;77749;Vatan Partisi;249
Adana;KOZAN;323;93515;93515;323;82769;77749;BBP;6368
Adana;KOZAN;323;93515;93515;323;82769;77749;DP;478
Adana;KOZAN;323;93515;93515;323;82769;77749;MHP;34813
Adana;KOZAN;323;93515;93515;323;82769;77749;İyi Parti;17913
Adana;KOZAN;323;93515;93515;323;82769;77749;HDP;247
Adana;KOZAN;323;93515;93515;323;82769;77749;DSP;265
Adana;POZANTI;56;15496;15496;56;13539;12627;Saadet Partisi;341
Adana;POZANTI;56;15496;15496;56;13539;12627;BTP;265
Adana;POZANTI;56;15496;15496;56;13539;12627;TKP;14
Adana;POZANTI;56;15496;15496;56;13539;12627;Vatan Partisi;13
Adana;POZANTI;56;15496;15496;56;13539;12627;BBP;56
Adana;POZANTI;56;15496;15496;56;13539;12627;CHP;4059
Adana;POZANTI;56;15496;15496;56;13539;12627;MHP;6892
Adana;POZANTI;56;15496;15496;56;13539;12627;İyi Parti;898
Adana;POZANTI;56;15496;15496;56;13539;12627;HDP;89
Adana;SAİMBEYLİ;47;11667;11667;47;10446;9755;Saadet Partisi;113
Adana;SAİMBEYLİ;47;11667;11667;47;10446;9755;BTP;84
Adana;SAİMBEYLİ;47;11667;11667;47;10446;9755;TKP;23
Adana;SAİMBEYLİ;47;11667;11667;47;10446;9755;Vatan Partisi;89
Adana;SAİMBEYLİ;47;11667;11667;47;10446;9755;BBP;1814
Adana;SAİMBEYLİ;47;11667;11667;47;10446;9755;MHP;5995
Adana;SAİMBEYLİ;47;11667;11667;47;10446;9755;İyi Parti;1637
Adana;TUFANBEYLİ;61;13083;13083;61;11856;11039;Saadet Partisi;82
Adana;TUFANBEYLİ;61;13083;13083;61;11856;11039;BTP;22
Adana;TUFANBEYLİ;61;13083;13083;61;11856;11039;TKP;28
Adana;TUFANBEYLİ;61;13083;13083;61;11856;11039;Vatan Partisi;42
Adana;TUFANBEYLİ;61;13083;13083;61;11856;11039;BBP;228
Adana;TUFANBEYLİ;61;13083;13083;61;11856;11039;CHP;5288
Adana;TUFANBEYLİ;61;13083;13083;61;11856;11039;AK Parti;5349
Adana;YUMURTALIK;53;14343;14343;53;13119;12545;Saadet Partisi;191
Adana;YUMURTALIK;53;14343;14343;53;13119;12545;BTP;9
Adana;YUMURTALIK;53;14343;14343;53;13119;12545;TKP;11
Adana;YUMURTALIK;53;14343;14343;53;13119;12545;Vatan Partisi;12
Adana;YUMURTALIK;53;14343;14343;53;13119;12545;BBP;65
Adana;YUMURTALIK;53;14343;14343;53;13119;12545;CHP;5500
Adana;YUMURTALIK;53;14343;14343;53;13119;12545;MHP;6235
Adana;YUMURTALIK;53;14343;14343;53;13119;12545;İyi Parti;506
Adana;YUMURTALIK;53;14343;14343;53;13119;12545;HDP;16
Adana;YÜREĞİR;843;272364;272364;843;221717;210600;Saadet Partisi;4806
Adana;YÜREĞİR;843;272364;272364;843;221717;210600;BTP;307
Adana;YÜREĞİR;843;272364;272364;843;221717;210600;TKP;282
Adana;YÜREĞİR;843;272364;272364;843;221717;210600;Vatan Partisi;391
Adana;YÜREĞİR;843;272364;272364;843;221717;210600;BBP;1681
Adana;YÜREĞİR;843;272364;272364;843;221717;210600;CHP;94307
Adana;YÜREĞİR;843;272364;272364;843;221717;210600;AK Parti;100814
Adana;YÜREĞİR;843;272364;272364;843;221717;210600;DP;1100
Adana;YÜREĞİR;843;272364;272364;843;221717;210600;HDP;6224
Adana;YÜREĞİR;843;272364;272364;843;221717;210600;DSP;688
Adana;ALADAĞ;55;12670;12670;55;11948;11252;Saadet Partisi;187
Adana;ALADAĞ;55;12670;12670;55;11948;11252;BTP;87
Adana;ALADAĞ;55;12670;12670;55;11948;11252;TKP;23
Adana;ALADAĞ;55;12670;12670;55;11948;11252;Vatan Partisi;111
Adana;ALADAĞ;55;12670;12670;55;11948;11252;BBP;86
Adana;ALADAĞ;55;12670;12670;55;11948;11252;AK Parti;5767
Adana;ALADAĞ;55;12670;12670;55;11948;11252;İyi Parti;3967
